type,neighborhood,address,price,beds,baths,sqft,url
Rental Unit,Kew Gardens,132-77 Metropolitan Avenue #4F,"$2,288",Studio,1 Bath,NA,https://streeteasy.com/building/the-metropolitan-132_77-metropolitan-avenue-kew_gardens/4f
Co-op,Forest Hills,111-35 75 Road #A28,"$1,700",Studio,1 Bath,NA,https://streeteasy.com/building/111_35-75-road-forest_hills/a28
Rental Unit,Kew Gardens,83-61 116th Street #O,"$3,200",1 Bed,1 Bath,NA,https://streeteasy.com/building/83_61-116-street-kew_gardens/o
Rental Unit,Kew Gardens,83-61 116th Street #S,"$2,375",Studio,1 Bath,NA,https://streeteasy.com/building/83_61-116-street-kew_gardens/s
Rental Unit,Rego Park,93-54 Queens Boulevard #5G,"$1,900",Studio,1 Bath,NA,https://streeteasy.com/building/93_54-queens-boulevard-rego_park/5g
Rental Unit,East Harlem,172 East 106th Street #3F,"$2,200",1 Bed,1 Bath,NA,https://streeteasy.com/building/172-east-106-street-new_york/3f
Rental Unit,Kensington,567 Ocean Parkway #2D,"$2,350",1 Bed,2 Baths,714,https://streeteasy.com/building/567-ocean-parkway-brooklyn/2d
Co-op,Hudson Heights,225 Bennett Avenue #2,"$2,050",Studio,1 Bath,NA,https://streeteasy.com/building/225-bennett-avenue-new_york/00002
Rental Unit,Fort Hamilton,302 Marine Avenue #C3,"$1,795",1 Bed,1 Bath,NA,https://streeteasy.com/building/302-marine-avenue-brooklyn/c3
Rental Unit,Fort Hamilton,146 92nd Street #C10,"$1,995",1 Bed,1 Bath,NA,https://streeteasy.com/building/146-92-street-brooklyn/c10
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209?featured=1
Rental Unit,Ditmars-Steinway,21-14 Crescent Street #E1,"$2,260",1 Bed,1 Bath,NA,https://streeteasy.com/building/21_14-crescent-street-astoria/e1
Rental Unit,Fort Hamilton,146 92nd Street #7C,"$1,995",1 Bed,1 Bath,NA,https://streeteasy.com/building/146-92-street-brooklyn/7c
Rental Unit,Hudson Heights,37 Overlook Terrace #2G,"$2,100",1 Bed,1 Bath,NA,https://streeteasy.com/building/37-overlook-terrace-new_york/2g
Rental Unit,Ditmars-Steinway,21-54 Crescent Street #A1,"$2,210",1 Bed,1 Bath,NA,https://streeteasy.com/building/21_52-crescent-street-astoria/a1
Rental Unit,Ocean Hill,17 Somers Street #7D,"$2,350",1 Bed,1 Bath,601,https://streeteasy.com/building/the-somers/7d
House,Stuyvesant Heights,962 Greene Avenue #4R,"$2,375",1 Bath,"
                673
                square feet
ftÂ²
",NA,https://streeteasy.com/building/962-greene-avenue-brooklyn/4r
Rental Unit,East Harlem,172 East 106th Street #2B,"$2,180",Studio,1 Bath,NA,https://streeteasy.com/building/172-east-106-street-new_york/2b
Rental Unit,Beekman,400 East 50th Street #5F,"$2,195",Studio,1 Bath,NA,https://streeteasy.com/building/400-east-50-street-new_york/5f
Rental Unit,Sunnyside,48-37 47th Street #1F,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/48_37-47-street-woodside/1f
Co-op,Fort Hamilton,150 95th Street #5E,"$2,000",Studio,1 Bath,NA,https://streeteasy.com/building/150-95-street-brooklyn/5e
Co-op,Hamilton Heights,345 West 145th Street #7B4,"$2,400",Studio,1 Bath,NA,https://streeteasy.com/building/345-west-145-street-new_york/7b4
Co-op,Downtown Brooklyn,215 Adams Street #6D,"$2,400",Studio,1 Bath,460,https://streeteasy.com/building/215-adams-street-brooklyn/6d?featured=1
Rental Unit,Kew Gardens,132-77 Metropolitan Avenue #4F,"$2,288",Studio,1 Bath,NA,https://streeteasy.com/building/the-metropolitan-132_77-metropolitan-avenue-kew_gardens/4f?featured=1
Rental Unit,Stuyvesant Heights,591 Madison Street #3F,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/591-madison-street-brooklyn/3f
Co-op,Murray Hill (Queens),144-24 37th Avenue #5I,"$1,950",1 Bed,1 Bath,NA,https://streeteasy.com/building/144_24-37-avenue-flushing/5i
Co-op,Forest Hills,111-45 76 Drive #E8,"$2,395",1 Bed,1 Bath,800,https://streeteasy.com/building/111_45-76-drive-forest_hills/e8
Rental Unit,Washington Heights,512 West 171st Street #4B,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/512-west-171st-street-new_york/4b
Rental Unit,Fort George,2 Ellwood Street #6G,"$1,875",1 Bed,1 Bath,NA,https://streeteasy.com/building/2-ellwood-street-new_york/6g
Rental Unit,Hudson Heights,630 Ft Washington Avenue #6J,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/630-ft-washington-avenue-new_york/6j
Rental Unit,Long Island City,36-27 30th Street #2,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/36_27-30-street-astoria/2
Rental Unit,Astoria,25-88 36th Street #2F,"$2,395",1 Bed,1 Bath,NA,https://streeteasy.com/building/25_88-36-street-astoria/2f
Rental Unit,East Harlem,162 East 122nd Street #3A,"$2,000",Studio,1 Bath,589,https://streeteasy.com/building/162-east-122-street-new_york/3a
Rental Unit,Fort George,24 Sickles Street #E12,"$2,085",1 Bed,1 Bath,NA,https://streeteasy.com/building/14-sickles-street-new_york/e12
Co-op,South Harlem,230 West 123rd Street #4E,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/230-west-123-street-new_york/4e
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Rental Unit,Manhattanville,3333E Broadway #E4F,"$2,725",1 Bed,1 Bath,NA,https://streeteasy.com/building/3333e-broadway-manhattanville/e4f?featured=1
Co-op,South Harlem,230 West 123rd Street #4E,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/230-west-123-street-new_york/4e
Rental Unit,Astoria,11-05 30 Road #2,"$2,150",Studio,1 Bath,420,https://streeteasy.com/building/11_05-30-road-astoria/2
Rental Unit,Lenox Hill,414 East 73rd Street #4RE,"$2,400",Studio,1 Bath,NA,https://streeteasy.com/building/414-east-73-street-new_york/4re
Rental Unit,South Harlem,3 East 115th Street #6C,"$2,344",1 Bed,1 Bath,600,https://streeteasy.com/building/3-east-115th-street-new_york/6c
Co-op,Forest Hills,99-44 67 Road #2E,"$2,000",1 Bed,1 Bath,700,https://streeteasy.com/building/99_44-67-road-forest_hills/2e
Condo,South Harlem,245 West 115th Street #19,"$2,350",1 Bed,1 Bath,400,https://streeteasy.com/building/245-west-115-street-new_york/19
Co-op,Turtle Bay,45 Tudor City Place #1116,"$2,350",Studio,1 Bath,300,https://streeteasy.com/building/45-tudor-city-place-new_york/1116
Rental Unit,Forest Hills,98-30 67th Avenue #1I,"$2,000",Studio,1 Bath,NA,https://streeteasy.com/building/98_30-67-avenue-rego_park/1i
Rental Unit,Rego Park,98-21 65th Avenue #4C,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/98_21-65-avenue-rego_park/4c
Rental Unit,Astoria,31-26 28th Avenue #4F,"$2,395",1 Bed,1 Bath,NA,https://streeteasy.com/building/31_26-28-avenue-astoria/4f
Co-op,Hamilton Heights,345 West 145th Street #3B3,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/345-west-145-street-new_york/3b3
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209?featured=1
Rental Unit,Little Italy,124 Mott Street #3S,"$2,250",Studio,1 Bath,NA,https://streeteasy.com/building/124-mott-street-new_york/3s
Co-op,Turtle Bay,45 Tudor City Place #412,"$2,400",Studio,1 Bath,NA,https://streeteasy.com/building/45-tudor-city-place-new_york/412
Co-op,Fort Hamilton,9265 Shore Road #1E,"$2,295",1 Bed,1 Bath,700,https://streeteasy.com/building/1-oliver-street-brooklyn/rental/4373636
Condo,Kew Gardens Hills,150-38 Union Turnpike #10H,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/150_38-union-turnpike-flushing/10h
Rental Unit,Astoria,26-23 Third Street #309B,"$2,300",Studio,1 Bath,400,https://streeteasy.com/building/26_22-4-street-astoria/309b
Rental Unit,East Harlem,158 East 102nd Street #C,"$2,095",Studio,1 Bath,558,https://streeteasy.com/building/carnegie-e-102nd/c
Rental Unit,Yorkville,426 East 83rd Street #1B,"$2,250",Studio,1 Bath,345,https://streeteasy.com/building/426-east-83-street-new_york/1b
Co-op,Rego Park,98-26 64th Avenue #6D,"$2,200",1 Bed,1 Bath,NA,https://streeteasy.com/building/98_26-64-avenue-rego_park/rental/4373227
Rental Unit,Washington Heights,79 Haven Avenue #15,"$2,605",1 Bed,1 Bath,500,https://streeteasy.com/building/79-haven-avenue-new_york/15
Rental Unit,Prospect Lefferts Gardens,580 Flatbush Avenue #8C,"$2,100",Studio,1 Bath,NA,https://streeteasy.com/building/580-flatbush-avenue-brooklyn/8c
Rental Unit,Crown Heights,1239 Pacific Street #1F,"$2,396",Studio,1 Bath,NA,https://streeteasy.com/building/1239-pacific-street-brooklyn/1f
Co-op,Downtown Brooklyn,215 Adams Street #6D,"$2,400",Studio,1 Bath,460,https://streeteasy.com/building/215-adams-street-brooklyn/6d?featured=1
Rental Unit,Manhattanville,3333E Broadway #E4F,"$2,725",1 Bed,1 Bath,NA,https://streeteasy.com/building/3333e-broadway-manhattanville/e4f?featured=1
Rental Unit,Hell's Kitchen,538 West 50th Street #1C,"$2,300",Studio,1 Bath,NA,https://streeteasy.com/building/536-west-50-street-new_york/1c
Rental Unit,Astoria,26-48 29th Street #1A,"$1,950",Studio,1 Bath,450,https://streeteasy.com/building/26_48-29-street-astoria/1a
Rental Unit,Rego Park,65-04 Booth Street #6F,"$1,945",1 Bed,1 Bath,640,https://streeteasy.com/building/65_04-booth-street-rego_park/6f
Rental Unit,Fort George,480 West 187th Street #5G,"$1,750",Studio,1 Bath,NA,https://streeteasy.com/building/480-west-187-street-new_york/5g
Rental Unit,East Harlem,346 East 105th Street #5B,"$2,000",Studio,1 Bath,501,https://streeteasy.com/building/346-east-105-street-new_york/5b
Co-op,Fort Hamilton,9265 Shore Road #1E,"$2,295",1 Bed,1 Bath,775,https://streeteasy.com/building/1-oliver-street-brooklyn/rental/4371204
Rental Unit,Washington Heights,421 West 162nd Street #2G,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/421-west-162-street-new_york/2g
Rental Unit,Fort Hamilton,368 97th Street #3,"$2,000",1 Bed,1 Bath,NA,https://streeteasy.com/building/368-97-street-brooklyn/3
Rental Unit,Manhattanville,3333E Broadway #E4F,"$2,725",1 Bed,1 Bath,NA,https://streeteasy.com/building/3333e-broadway-manhattanville/e4f
Rental Unit,Manhattanville,3333C Broadway #C5B,"$2,575",Studio,1 Bath,NA,https://streeteasy.com/building/3333c-broadway-manhattanville/c5b
Rental Unit,Bay Ridge,8301 Fourth Avenue #65,"$2,051",1 Bed,1 Bath,780,https://streeteasy.com/building/8301-4-avenue-brooklyn/65
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209?featured=1
Rental Unit,Manhattanville,3333E Broadway #E4F,"$2,725",1 Bed,1 Bath,NA,https://streeteasy.com/building/3333e-broadway-manhattanville/e4f?featured=1
Co-op,Forest Hills,67-41 Burns Street #212,"$2,250",1 Bed,1 Bath,800,https://streeteasy.com/building/67_41-burns-street-forest_hills/212
Rental Unit,Gramercy Park,317 East 14th Street #2C,"$2,400",Studio,1 Bath,NA,https://streeteasy.com/building/317-east-14-street-new_york/2c
Rental Unit,Sunnyside,43-34 49th Street #1H,"$2,100",Studio,1 Bath,NA,https://streeteasy.com/building/43_34-49-street-sunnyside/1h
Rental Unit,Morningside Heights,417 West 120th Street #6X,"$2,375",Studio,1 Bath,400,https://streeteasy.com/building/417-west-120-street-new_york/6x
Co-op,Fort Hamilton,9265 Shore Road #1,"$2,200",1 Bed,1 Bath,775,https://streeteasy.com/building/1-oliver-street-brooklyn/1
Rental Unit,Bath Beach,2076 Cropsey Avenue #1F,"$1,600",Studio,1 Bath,NA,https://streeteasy.com/building/8834-21-avenue-brooklyn/1f
Rental Unit,East Harlem,175 East 101st Street #5,"$2,350",1 Bed,1 Bath,NA,https://streeteasy.com/building/175-east-101-street-new_york/5fl
Rental Unit,Prospect Park South,65 East 19th Street #8E,"$2,250",Studio,1 Bath,NA,https://streeteasy.com/building/65-east-19-street-brooklyn/8e
Rental Unit,Ditmars-Steinway,22-28 42nd Street #7,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/22_28-42-street-astoria/7
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211
Co-op,Lenox Hill,517 East 77th Street #2C,"$2,395",Studio,1 Bath,400,https://streeteasy.com/building/517-east-77-street-manhattan/2c
Co-op,Hamilton Heights,345 West 145th Street #7B4,"$2,400",Studio,1 Bath,NA,https://streeteasy.com/building/345-west-145-street-new_york/7b4?featured=1
Co-op,Downtown Brooklyn,215 Adams Street #6D,"$2,400",Studio,1 Bath,460,https://streeteasy.com/building/215-adams-street-brooklyn/6d?featured=1
Rental Unit,East Harlem,171 East 101st Street #8,"$2,350",1 Bed,1 Bath,NA,https://streeteasy.com/building/171-east-101-street-new_york/8
Co-op,Lenox Hill,508 East 78th Street #1L,"$2,300",Studio,1 Bath,350,https://streeteasy.com/building/508-east-78-street-new_york/1l
Rental Unit,Carroll Gardens,561 Clinton Street #5,"$2,000",Studio,1 Bath,NA,https://streeteasy.com/building/561-clinton-street-brooklyn/5
Rental Unit,Washington Heights,715 West 172nd Street #3,"$2,750",1 Bed,1 Bath,NA,https://streeteasy.com/building/715-west-172-street-new_york/3
Rental Unit,Middle Village,62-07 80th Street #16,"$1,725",Studio,1 Bath,450,https://streeteasy.com/building/62_07-80-street-middle_village/16
Rental Unit,Crown Heights,1598 Pacific Street #6,"$2,550",1 Bed,1 Bath,NA,https://streeteasy.com/building/1598-pacific-street-brooklyn/6
Rental Unit,Hudson Heights,182 Bennett Avenue UNKNOWN,"$2,150",1 Bed,1 Bath,NA,https://streeteasy.com/building/182-bennett-avenue-new_york/unknown
Co-op,Kew Gardens,118-66 Metropolitan Avenue #2B,"$2,100",1 Bed,1 Bath,NA,https://streeteasy.com/building/118_66-metropolitan-avenue-kew_gardens/2b
Rental Unit,Washington Heights,539 West 156th Street #9,"$1,950",1 Bed,1 Bath,NA,https://streeteasy.com/building/539-west-156-street-new_york/9
Rental Unit,Forest Hills,105-25 65 Road #6C,"$2,100",Studio,1 Bath,483,https://streeteasy.com/building/105_25-65-road-forest_hills/6c
Rental Unit,Crown Heights,792 Sterling Place #4J,"$2,091",Studio,1 Bath,NA,https://streeteasy.com/building/796-sterling-place-brooklyn/4j
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209?featured=1
Rental Unit,Kew Gardens,132-77 Metropolitan Avenue #4F,"$2,288",Studio,1 Bath,NA,https://streeteasy.com/building/the-metropolitan-132_77-metropolitan-avenue-kew_gardens/4f?featured=1
Rental Unit,Flushing,150-17 75 Road #2H,"$2,100",1 Bed,1 Bath,NA,https://streeteasy.com/building/150_17-75-road-flushing/2h
Rental Unit,Murray Hill (Queens),34-15 Parsons Boulevard #3S,"$2,200",1 Bed,1 Bath,NA,https://streeteasy.com/building/34_15-parsons-boulevard-flushing/3s
Rental Unit,Hamilton Heights,419 West 146th Street #3F,"$2,395",Studio,1 Bath,NA,https://streeteasy.com/building/419-west-146-street-new_york/3f
Rental Unit,East Harlem,175 East 101st Street #18,"$2,395",1 Bed,1 Bath,NA,https://streeteasy.com/building/175-east-101-street-new_york/18
Rental Unit,Hudson Heights,570 Ft Washington Avenue #66B,"$2,205",Studio,1 Bath,NA,https://streeteasy.com/building/570-ft-washington-avenue-new_york/66b
Rental Unit,Fort George,480 West 187th Street #3K,"$1,881",Studio,1 Bath,NA,https://streeteasy.com/building/480-west-187-street-new_york/3k
Rental Unit,Hamilton Heights,600 West 141st Street #33,"$1,746",Studio,1 Bath,NA,https://streeteasy.com/building/3449-broadway-new_york/33
Rental Unit,South Harlem,125 West 123rd Street #101,"$2,250",Studio,1 Bath,NA,https://streeteasy.com/building/125-west-123-street-new_york/101
Rental Unit,East Harlem,171 East 101st Street #18,"$2,325",1 Bed,1 Bath,NA,https://streeteasy.com/building/171-east-101-street-new_york/18
Rental Unit,South Harlem,1638 Park Avenue #2B,"$3,041",Studio,1 Bath,NA,https://streeteasy.com/building/1638-park-avenue-new_york/2b
Co-op,Rego Park,65-65 Wetherole Street #4M,"$2,100",1 Bed,1 Bath,800,https://streeteasy.com/building/65_65-wetherole-street-rego_park/4m
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Rental Unit,Manhattanville,3333E Broadway #E4F,"$2,725",1 Bed,1 Bath,NA,https://streeteasy.com/building/3333e-broadway-manhattanville/e4f?featured=1
Co-op,Rego Park,65-65 Wetherole Street #4M,"$2,100",1 Bed,1 Bath,800,https://streeteasy.com/building/65_65-wetherole-street-rego_park/4m
Rental Unit,Astoria,23-35 Broadway #5L,"$2,300",Studio,1 Bath,NA,https://streeteasy.com/building/23_35-broadway-astoria/5l
Co-op,Hamilton Heights,345 West 145th Street #4A7,"$2,200",Studio,1 Bath,NA,https://streeteasy.com/building/345-west-145-street-new_york/4a7
Co-op,Rego Park,74-45 Yellowstone Boulevard #6A,"$1,875",Studio,1 Bath,550,https://streeteasy.com/building/74_45-yellowstone-blvd-rego_park/6a
Co-op,Forest Hills,73-20 Austin Street #1L,"$2,250",1 Bed,1 Bath,882,https://streeteasy.com/building/73_20-austin-street-forest_hills/1l
Rental Unit,Washington Heights,1224 Saint Nicholas Avenue #5C,"$2,395",1 Bed,1 Bath,NA,https://streeteasy.com/building/1224-st-nicholas-avenue-new_york/5c
Rental Unit,Hudson Heights,21 Magaw Place #4E,"$2,275",1 Bed,1 Bath,600,https://streeteasy.com/building/21-magaw-place-new_york/4e
Rental Unit,Fort George,4420 Broadway #3C,"$1,850",Studio,1 Bath,NA,https://streeteasy.com/building/4420-broadway-new_york/3c
Co-op,Fort Hamilton,9967 Shore Road #7D,"$1,900",1 Bed,1 Bath,600,https://streeteasy.com/building/9967-shore-road-brooklyn/rental/4299662
Rental Unit,East Harlem,19 East 108th Street #2RW,"$2,350",1 Bed,1 Bath,NA,https://streeteasy.com/building/19-east-108-street-new_york/2rw
Condo,Fort Hamilton,9729 Fourth Avenue #B3,"$2,050",Studio,1 Bath,NA,https://streeteasy.com/building/9729-4-avenue-brooklyn/b3
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209?featured=1
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Rental Unit,Hudson Heights,454 Fort Washington Avenue #54B,"$2,250",1 Bed,1 Bath,NA,https://streeteasy.com/building/454-ft-washington-avenue-new_york/54b
Rental Unit,Murray Hill,5 Tudor City Place #B1,"$2,250",Studio,1 Bath,NA,https://streeteasy.com/building/5-tudor-city-place-new_york/b1
Rental Unit,Lenox Hill,321 E 69th Street #1A,"$2,550",Studio,1 Bath,NA,https://streeteasy.com/building/321-east-69-street-new_york/1a
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209
